prashant-Lenovo-IdeaPad-Y480 masscan # bin/masscan -p0-1024 129.170.212.20/22

Starting masscan 1.0.3 (http://bit.ly/14GZzcT) at 2017-05-17 21:41:20 GMT
 -- forced options: -sS -Pn -n --randomize-hosts -v --send-eth
 Initiating SYN Stealth Scan
 Scanning 1024 hosts [1025 ports/host]
 Discovered open port 22/tcp on 129.170.213.103                                 
 Discovered open port 631/tcp on 129.170.215.34                                 
 Discovered open port 143/tcp on 129.170.212.94                                 
 Discovered open port 22/tcp on 129.170.214.230                                 
 Discovered open port 111/tcp on 129.170.214.98                                 
 Discovered open port 25/tcp on 129.170.214.240                                 
 Discovered open port 88/tcp on 129.170.212.203                                 
 Discovered open port 515/tcp on 129.170.215.34                                 
 Discovered open port 22/tcp on 129.170.214.229                                 
 Discovered open port 21/tcp on 129.170.215.141                                 
 Discovered open port 80/tcp on 129.170.212.239                                 
 Discovered open port 22/tcp on 129.170.213.33                                  
 Discovered open port 143/tcp on 129.170.214.65                                 
 Discovered open port 739/tcp on 129.170.212.108                                
 Discovered open port 22/tcp on 129.170.214.253                                 
 Discovered open port 80/tcp on 129.170.215.62                                  
 Discovered open port 22/tcp on 129.170.215.196                                 
 Discovered open port 22/tcp on 129.170.213.52                                  
 Discovered open port 80/tcp on 129.170.214.217                                 
 Discovered open port 427/tcp on 129.170.212.83                                 
 Discovered open port 22/tcp on 129.170.213.39                                  
 Discovered open port 139/tcp on 129.170.212.110                                
 Discovered open port 631/tcp on 129.170.215.135                                
 Discovered open port 139/tcp on 129.170.212.94                                 
 Discovered open port 21/tcp on 129.170.213.164                                 
 Discovered open port 464/tcp on 129.170.212.109                                
 Discovered open port 555/tcp on 129.170.212.162                                
 Discovered open port 443/tcp on 129.170.215.192                                
 Discovered open port 22/tcp on 129.170.214.242                                 
 Discovered open port 445/tcp on 129.170.212.165                                
 Discovered open port 631/tcp on 129.170.215.134                                
 Discovered open port 111/tcp on 129.170.213.33                                 
 Discovered open port 22/tcp on 129.170.215.143                                 
 Discovered open port 631/tcp on 129.170.213.109                                
 Discovered open port 497/tcp on 129.170.213.96                                 
 Discovered open port 22/tcp on 129.170.215.61                                  
 Discovered open port 22/tcp on 129.170.215.31                                  
 Discovered open port 497/tcp on 129.170.212.100                                
 Discovered open port 389/tcp on 129.170.213.35                                 
 Discovered open port 22/tcp on 129.170.214.107                                 
 Discovered open port 80/tcp on 129.170.215.134                                 
 Discovered open port 22/tcp on 129.170.215.126                                 
 Discovered open port 953/tcp on 129.170.215.194                                
 Discovered open port 445/tcp on 129.170.214.208                                
 Discovered open port 993/tcp on 129.170.212.226                                
 Discovered open port 21/tcp on 129.170.215.140                                 
 Discovered open port 631/tcp on 129.170.214.238                                
 Discovered open port 111/tcp on 129.170.213.32                                 
 Discovered open port 515/tcp on 129.170.212.55                                 
 Discovered open port 465/tcp on 129.170.212.100                                
 Discovered open port 23/tcp on 129.170.215.140                                 
 Discovered open port 823/tcp on 129.170.213.62                                 
 Discovered open port 497/tcp on 129.170.212.114                                
 Discovered open port 755/tcp on 129.170.212.86                                 
 Discovered open port 88/tcp on 129.170.214.208                                 
 Discovered open port 623/tcp on 129.170.215.190                                
 Discovered open port 80/tcp on 129.170.215.192                                 
 Discovered open port 25/tcp on 129.170.215.126                                 
 Discovered open port 88/tcp on 129.170.212.109                                 
 Discovered open port 22/tcp on 129.170.215.198                                 
 Discovered open port 80/tcp on 129.170.215.190                                 
 Discovered open port 497/tcp on 129.170.213.106                                
 Discovered open port 80/tcp on 129.170.215.61                                  
 Discovered open port 22/tcp on 129.170.215.194                                 
 Discovered open port 443/tcp on 129.170.215.190                                
 Discovered open port 497/tcp on 129.170.213.102                                
 Discovered open port 80/tcp on 129.170.215.107                                 
 Discovered open port 111/tcp on 129.170.215.196                                
 Discovered open port 111/tcp on 129.170.212.114                                
 Discovered open port 111/tcp on 129.170.214.173                                
 Discovered open port 88/tcp on 129.170.214.253                                 
 Discovered open port 111/tcp on 129.170.214.100                                
 Discovered open port 953/tcp on 129.170.212.103                                
 Discovered open port 80/tcp on 129.170.214.195                                 
 Discovered open port 111/tcp on 129.170.214.65                                 
 Discovered open port 631/tcp on 129.170.212.83                                 
 Discovered open port 631/tcp on 129.170.214.120                                
 Discovered open port 443/tcp on 129.170.212.215                                
 Discovered open port 22/tcp on 129.170.215.127                                 
 Discovered open port 623/tcp on 129.170.215.191                                
 Discovered open port 631/tcp on 129.170.212.55                                 
 Discovered open port 497/tcp on 129.170.213.40                                 
 Discovered open port 443/tcp on 129.170.212.239                                
 Discovered open port 23/tcp on 129.170.215.132                                 
 Discovered open port 631/tcp on 129.170.214.239                                
 Discovered open port 143/tcp on 129.170.214.84                                 
 Discovered open port 21/tcp on 129.170.215.132                                 
 Discovered open port 912/tcp on 129.170.213.3                                  
 Discovered open port 548/tcp on 129.170.212.85                                 
 Discovered open port 23/tcp on 129.170.215.141                                 
 Discovered open port 497/tcp on 129.170.212.130                                
 Discovered open port 111/tcp on 129.170.215.107                                
 Discovered open port 139/tcp on 129.170.214.65                                 
 Discovered open port 25/tcp on 129.170.215.107                                 
 Discovered open port 80/tcp on 129.170.215.34                                  
 Discovered open port 22/tcp on 129.170.212.26                                  
 Discovered open port 497/tcp on 129.170.212.112                                
 Discovered open port 875/tcp on 129.170.212.119                                
 Discovered open port 80/tcp on 129.170.214.229                                 
 Discovered open port 143/tcp on 129.170.214.107                                
 Discovered open port 111/tcp on 129.170.214.59                                 
 Discovered open port 111/tcp on 129.170.214.241                                
 Discovered open port 22/tcp on 129.170.213.212                                 
 Discovered open port 25/tcp on 129.170.214.241                                 
 Discovered open port 22/tcp on 129.170.215.110                                 
 Discovered open port 623/tcp on 129.170.215.192                                
 Discovered open port 445/tcp on 129.170.212.214                                
 Discovered open port 993/tcp on 129.170.212.94                                 
 Discovered open port 902/tcp on 129.170.213.3                                  
 Discovered open port 873/tcp on 129.170.212.127                                
 Discovered open port 443/tcp on 129.170.212.100                                
 Discovered open port 111/tcp on 129.170.214.175                                
 Discovered open port 497/tcp on 129.170.213.101                                
 Discovered open port 22/tcp on 129.170.215.107                                 
 Discovered open port 111/tcp on 129.170.214.223                                
 Discovered open port 915/tcp on 129.170.213.107                                
 Discovered open port 515/tcp on 129.170.213.68                                 
 Discovered open port 143/tcp on 129.170.214.59                                 
 Discovered open port 445/tcp on 129.170.213.212                                
 Discovered open port 111/tcp on 129.170.212.226                                
 Discovered open port 443/tcp on 129.170.213.101                                
 Discovered open port 445/tcp on 129.170.212.53                                 
 Discovered open port 623/tcp on 129.170.215.143                                
 Discovered open port 497/tcp on 129.170.213.37                                 
 Discovered open port 548/tcp on 129.170.212.249                                
 Discovered open port 875/tcp on 129.170.213.40                                 
 rate:  0.10-kpps, 24.39% done,   2:30:53 remaining, found=126       
 Discovered open port 993/tcp on 129.170.214.107                                
 Discovered open port 111/tcp on 129.170.214.240                                
 Discovered open port 445/tcp on 129.170.213.204                                
 Discovered open port 623/tcp on 129.170.212.188                                
 Discovered open port 80/tcp on 129.170.214.237                                 
 Discovered open port 80/tcp on 129.170.214.208                                 
 Discovered open port 497/tcp on 129.170.213.127                                
 Discovered open port 111/tcp on 129.170.214.176                                
 Discovered open port 548/tcp on 129.170.212.203                                
 Discovered open port 995/tcp on 129.170.212.112                                
 Discovered open port 515/tcp on 129.170.213.109                                
 Discovered open port 497/tcp on 129.170.213.104                                
 Discovered open port 111/tcp on 129.170.214.242                                
 Discovered open port 80/tcp on 129.170.215.123                                 
 Discovered open port 821/tcp on 129.170.213.212                                
 Discovered open port 23/tcp on 129.170.213.244                                 
 Discovered open port 111/tcp on 129.170.214.243                                
 Discovered open port 838/tcp on 129.170.215.194                                
 Discovered open port 875/tcp on 129.170.213.77                                 
 Discovered open port 445/tcp on 129.170.212.94                                 
 Discovered open port 111/tcp on 129.170.214.208                                
 Discovered open port 21/tcp on 129.170.214.45                                  
 Discovered open port 515/tcp on 129.170.213.164                                
 Discovered open port 80/tcp on 129.170.215.135                                 
 Discovered open port 593/tcp on 129.170.212.109                                
 Discovered open port 21/tcp on 129.170.214.192                                 
 Discovered open port 464/tcp on 129.170.213.204                                
 Discovered open port 22/tcp on 129.170.212.143                                 
 Discovered open port 443/tcp on 129.170.214.98                                 
 Discovered open port 23/tcp on 129.170.213.68                                  
 Discovered open port 21/tcp on 129.170.212.83                                  
 Discovered open port 80/tcp on 129.170.213.104                                 
 Discovered open port 111/tcp on 129.170.215.61                                 
 Discovered open port 445/tcp on 129.170.212.110                                
 Discovered open port 993/tcp on 129.170.212.100                                
 Discovered open port 22/tcp on 129.170.213.104                                 
 Discovered open port 445/tcp on 129.170.214.65                                 
 Discovered open port 22/tcp on 129.170.212.249                                 
 Discovered open port 111/tcp on 129.170.214.168                                
 Discovered open port 22/tcp on 129.170.212.43                                  
 Discovered open port 631/tcp on 129.170.212.213                                
 Discovered open port 875/tcp on 129.170.212.127                                
 Discovered open port 555/tcp on 129.170.212.188                                
 Discovered open port 593/tcp on 129.170.212.110                                
 Discovered open port 110/tcp on 129.170.212.112                                
 Discovered open port 80/tcp on 129.170.215.132                                 
 Discovered open port 23/tcp on 129.170.214.45                                  
 Discovered open port 22/tcp on 129.170.214.65                                  
 Discovered open port 23/tcp on 129.170.215.232                                 
 Discovered open port 993/tcp on 129.170.214.59                                 
 Discovered open port 23/tcp on 129.170.215.236                                 
 Discovered open port 22/tcp on 129.170.214.64                                  
 Discovered open port 79/tcp on 129.170.212.20                                  
 Discovered open port 80/tcp on 129.170.212.188                                 
 Discovered open port 22/tcp on 129.170.212.127                                 
 Discovered open port 139/tcp on 129.170.215.194                                
 Discovered open port 21/tcp on 129.170.213.219                                 
 Discovered open port 23/tcp on 129.170.212.15                                  
 Discovered open port 111/tcp on 129.170.212.112                                
 Discovered open port 587/tcp on 129.170.213.38                                 
 Discovered open port 135/tcp on 129.170.213.35                                 
 Discovered open port 625/tcp on 129.170.212.130                                
 Discovered open port 995/tcp on 129.170.214.84                                 
 Discovered open port 111/tcp on 129.170.212.119                                
 Discovered open port 23/tcp on 129.170.213.241                                 
 Discovered open port 445/tcp on 129.170.213.35                                 
 Discovered open port 80/tcp on 129.170.215.141                                 
 Discovered open port 23/tcp on 129.170.214.46                                  
 Discovered open port 427/tcp on 129.170.213.219                                
 Discovered open port 389/tcp on 129.170.213.204                                
 Discovered open port 22/tcp on 129.170.212.194                                 
 Discovered open port 555/tcp on 129.170.212.250                                
 Discovered open port 111/tcp on 129.170.213.102                                
 Discovered open port 19/tcp on 129.170.213.219                                 
 Discovered open port 875/tcp on 129.170.214.59                                 
 Discovered open port 80/tcp on 129.170.215.232                                 
 Discovered open port 497/tcp on 129.170.213.246                                
